filter;de;Filter
firstName;de;Vorname
folder;de;Ordner
folderCreated;de;Der Ordner wurde erzeugt.
folderName;de;Ordnername
forgotPassword;de;Passwort vergessen?
from;de;Ab
group;de;Gruppe
groupDeleted;de;Die Gruppe <b><i>{1}</i></b> wurde gelöscht.
groupName;de;Gruppenname
groupQuit;de;Sie haben die Gruppe <b><i>{1}</i></b> verlassen.
groups;de;Gruppen
guest;de;Gast
guestAccess;de;Gästezugriff
hideFileNames;de;Ohne Filenamen
higherLevelRoles;de;Übergeordnete Rollen haben alle Berechtigungen der untergeordneten Rollen.
hours;de;Stunden
image;de;Bild
imageDeleted;de;Das Bild wurde gelöscht.
imageNotDeleted;de;Das Bild konnte nicht gelöscht werden.
images;de;Bilder
imgAfterSave;de;Bilder können erst nach der ersten Speicherung hinzugefügt werden.
inAgendaListOnly;de;Nur in der Agendaliste sichtbar
incorrectCode;de;Der Code war nicht korrekt.
insertImage;de;Bild einfügen
interval;de;Intervall
invalidEmailAddress;de;Die Emailadresse <b><i>{1}</i></b> ist ungültig
invalidNewPassword;de;Das neue Passwort ist ungültig.
invalidPassword;de;Das Passwort ist ungültig.
invited;de;Eingeladen
keepLogin;de;Angemeldet bleiben
language;de;Sprache
languageAndKit;de;Programmiersprache, Development Kit
lastName;de;Nachname
lastUpdate;de;Letzte Aktualisierung
line2;de;Adresszeile 2
location;de;Ort
loggedOut;de;Ausgeloggt
loggedOutMessage;de;Sie haben sich erfolgreich ausgeloggt.
login;de;Login
loginFailed1;de;Die Anmeldung ist fehlgeschlagen, der Benutzername oder das Passwort ist nicht korrekt.
loginFailed2;de;Die Anmeldung ist fehlgeschlagen, das Benutzerkonto <b><i>{1}</i></b> ist blockiert.
logout;de;Logout
mailServer;de;Mailserver
mandatoryData;de;Obligatorische Daten
maxCount;de;Max.Anzahl
member;de;Mitglied
memberCountExceeded;de;Fehler: Sie können nicht mehr als {1} Mitglieder, die sich noch nicht angemeldet haben, zu Ihren Gruppen hinzufügen. Bitte warten Sie bis sich mehr Mitglieder angemeldet haben, oder bis diese automatisch wieder entfernt wurden.
memberNotSignedUp;de;Dieses Mitglied hat sich noch nicht angemeldet.
memberRemoved;de;Das Mitglied <b><i>{1}</i></b> wurde entfernt.
members;de;Mitglieder
membersAdded;de;Folgende Mitglieder wurden hinzugefügt:
membershipData;de;Mitgliedsdaten
membersInputLabel;de;Emailadressen
